Complaint #,Description,Label
1,Charged for a first-class ticket when I booked and traveled in coach class.,Billing Issue
2,The advertised fare did not match the final price I paid at checkout.,Billing Issue
3,Charged extra for a seat selection I didn't choose.,Billing Issue
4,"Discount code for seniors, students, or military was not applied during billing.",Billing Issue
5,Credit card charged twice for the same train ticket.,Billing Issue
6,Debited for a ticket I never purchased.,Billing Issue
7,Billed for a service (like meals) I opted out of during the reservation process.,Billing Issue
8,Charged a hidden fee for luggage that wasn't mentioned during booking.,Billing Issue
9,"Fare displayed in one currency, but charged in a different one at a less favorable rate.",Billing Issue
10,Currency conversion during the billing process resulted in an unexpected additional charge.,Billing Issue
11,"Canceled trip well within the refund window, but haven't received my money back.",Billing Issue
12,Refund amount received was less than what I was originally charged.,Billing Issue
13,Refund request denied even though I met all the cancellation policy requirements.,Billing Issue
14,Refund process is taking an unreasonably long time.,Billing Issue
15,Charged a change fee for modifying my travel date that was much higher than expected.,Billing Issue
16,Charged a fee even though I changed my ticket according to the company's policy.,Billing Issue
17,Payment method declined even though there are sufficient funds available.,Billing Issue
18,Train company charged an international transaction fee without informing me.,Billing Issue
19,"Purchased multiple tickets for the same journey, but they were not linked together.",Billing Issue
20,Group's split ticket reservations resulted in incorrect seat assignments.,Billing Issue
21,Charged for a service upgrade I never requested.,Billing Issue
22,Billed for additional passengers even though I was traveling alone.,Billing Issue
23,"Mistake in the passenger information on the ticket, leading to billing errors.",Billing Issue
24,Booking confirmation details don't match the final charges.,Billing Issue
25,Charged for a missed train connection due to a delay caused by the train company.,Billing Issue
26,Charged for both the original ticket and the rebooked ticket after a train cancellation.,Billing Issue
27,Train company refusing to refund my ticket for a canceled train due to unforeseen circumstances.,Billing Issue
28,"Unable to travel due to a medical emergency, but refund request was denied.",Billing Issue
29,Charged for checked baggage even though it was supposed to be included in the ticket price.,Billing Issue
30,Billed for a platform ticket I didn't purchase.,Billing Issue
31,"Unable to pay for the ticket due to a system error, but still received a debit notification.",Billing Issue
32,Train company charged for a missed connection despite pre-booked onward travel.,Billing Issue
33,"Incorrect discount applied, resulting in a higher fare than expected.",Billing Issue
34,Loyalty points not reflected in the final billing amount.,Billing Issue
35,Charged for seat reservations that were not confirmed.,Billing Issue
36,Unable to claim a travel voucher due to billing issues.,Billing Issue
37,Booking fees not clearly communicated during the purchase process.,Billing Issue
38,Inconsistent tax charges applied to the final bill.,Billing Issue
39,Difficulty contacting customer service regarding a billing issue.,Billing Issue
40,Unclear instructions on how to dispute a billing error.,Billing Issue
41,"Website malfunction prevented completion of the booking, but payment still processed.",Billing Issue
42,Charged for a ticket that was later canceled by the train company.,Billing Issue
43,Unable to access or download a copy of the e-ticket due to a billing problem.,Billing Issue
44,Discrepancy between the mobile app and website pricing for the same ticket.,Billing Issue
45,Unexpected charges applied to a pre-paid ticket.,Billing Issue
46,Incorrect seat assignment despite paying for a specific seat selection.,Billing Issue
47,Billing issue caused missed boarding due to confusion over ticket validity.,Billing Issue
48,Difficulty using a travel credit to pay for a new ticket.,Billing Issue
49,Inconsistent application of promotional offers during checkout.,Billing Issue
50,Missing information on the bill regarding the breakdown of charges.,Billing Issue
51,Charged for a service interruption or delay that was outside of passenger control.,Billing Issue
52,"Ticket wouldn't scan at gate, causing boarding delay.",Defective Products
53,Incorrect printed information on ticket (missing carriage number).,Defective Products
54,"Received duplicate ticket, only one valid, leading to confusion.",Defective Products
55,Ticket lacked tear-away sections for boarding and baggage claim.,Defective Products
56,"Security features on ticket seemed tampered with, raising concerns.",Defective Products
57,"Online schedule displayed incorrect departure time, missed train.",Defective Products
58,Train arrived significantly later than advertised schedule.,Defective Products
59,"Posted schedule omitted crucial information (platform changes, stoppages).",Defective Products
60,"Inconsistent announcements contradicted online schedule, causing confusion.",Defective Products
61,"Train skipped stations listed on official schedule, leaving passengers stranded.",Defective Products
62,"Confirmed reservation vanished from system, leaving me without a seat.",Defective Products
63,"System double-booked my ticket, requiring alternative arrangements.",Defective Products
64,Unable to modify reservation online despite website claiming it was possible.,Defective Products
65,"System wouldn't recognize valid promo code, leading to higher ticket price.",Defective Products
66,"Online reservation system crashed while processing payment, unsure of confirmation.",Defective Products
67,"Ticket machine dispensed a blank ticket, rendering it unusable for boarding.",Defective Products
68,Ticket purchased at kiosk lacked magnetic strip for automated gates.,Defective Products
69,"Mobile ticket app wouldn't display QR code correctly, causing boarding difficulties.",Defective Products
70,"Ticket machine malfunctioned, swallowed cash payment without issuing a ticket.",Defective Products
71,Ticket printed at self-service kiosk contained errors in passenger information.,Defective Products
72,"Train departed early without any prior announcement, leaving passengers behind.",Defective Products
73,"Displayed platform number for train kept changing, causing last-minute chaos.",Defective Products
74,"Train announcement system malfunctioned, unable to hear station information.",Defective Products
75,Online schedule failed to update regarding unexpected train cancellations.,Defective Products
76,"Train arrived at the wrong platform, causing confusion and a race to board the correct one.",Defective Products
77,"System wouldn't allow choosing specific seats, even though supposedly available.",Defective Products
78,"Received multiple confirmation emails for the same reservation, creating uncertainty.",Defective Products
79,System wouldn't recognize loyalty points for a discount.,Defective Products
80,Chosen dietary preferences for meal service weren't reflected in the reservation.,Defective Products
81,System processed a different route than the one selected during reservation.,Defective Products
82,"Ticket machine printed a ticket with a blurry barcode, causing validation issues.",Defective Products
83,"Ticket lacked crucial information like the train number, making it difficult to find the platform.",Defective Products
84,Ticket purchased online was missing the security code needed for verification.,Defective Products
85,"Ticket printed at a station kiosk was damaged during printing, rendering it unusable.",Defective Products
86,Ticket machine dispensed a ticket for a different date than the one selected.,Defective Products
87,"Train displayed an incorrect destination sign, causing confusion among passengers.",Defective Products
88,Online schedule failed to mention planned maintenance work that caused delays.,Defective Products
89,Train announcement system provided inaccurate information about connecting trains.,Defective Products
90,Scheduled arrival time on the platform board significantly differed from the online schedule.,Defective Products
91,Train bypassed intended destination station without any prior notification.,Defective Products
92,System assigned a seat that was already occupied by another passenger.,Defective Products
93,Reservation system wouldn't allow adding additional passengers to the booking.,Defective Products
94,Chosen language preference for onboard announcements wasn't reflected,Defective Products
95,Staff member provided rude and dismissive responses to inquiries.,Service Complaints
96,Waited an unreasonable amount of time for assistance at the customer service counter.,Service Complaints
97,Train attendant made no effort to address passenger discomfort during a long delay.,Service Complaints
